[00:03] 人就是一个标准的通用的VOA模型大佬
[112:17] 你生成视频的模型
[112:19] 通过这样的Denoising
[112:21] Diffusion这样的一个方式
[112:23] 然后
[112:24] 刚才讲的Diffusion
[112:26] Policy
[112:27] 也是同样这样Denoising的方式
[112:29] 它生成的是
[112:30] Action
[112:31] 那么我们会想我们能不能搞一个Joint
[112:34] Distribution Joint Denoising Joint Diffusion的
[112:37] 这样一个架构
[112:38] 就同时去生成动作
[112:40] 和你对未来的各种预测
[112:44] 对所以这个是我们的架构
[112:45] 然后整个呢
[112:47] 也是蛮简洁的一个架构
[112:48] 中间
[112:49] 就是这个是Diffusion是这个有多步的去造过程中间每一块就是一个
[112:55] Transform DIT
[112:57] Diffusion Transformer也是一个Transformer这样一个架构
[113:00] 我们看到我们的输出
[113:02] 这变成一个多输入和多输出
[113:04] 所以这是一个拓展化的
[113:06] 拓展了的这个VLA的一个模型
[113:08] 就它不光是有
[113:10] Language是进来的
[113:12] 然后
[113:13] 你有这个
[113:15] Vision
[113:15] 对吧
[113:16] 然后我输入还可以输入
[113:18] 这个
[113:19] 这个我的机器人的动机器人的状态
[113:22] 就比如我的姿态
[113:24] 我还可以输入机器人一些特殊的一些模态
[113:27] 其他的一些模态就比如说深度相机
[113:30] 或者是触觉
[113:31] 我都可以很灵活的去输入进来
[113:34] 我的输出也可以很灵活我的生成也可以很灵活
[113:37] 我可以生成
[113:38] 首先我Action肯定要生成对吧
[113:40] 我这本身VLA最重要目的是做Action
[113:42] 同时就刚才说的我对未来的Prediction
[113:45] 要做一个生成训练它预测未来的能力
[113:47] 然后而且我还可以不光是生成对未来图像的预测
[113:51] 我还可以对未来其他模态数据的预测
[113:53] 就比如说对我深度
[113:55] 未来的预测
[113:56] 甚至对
[113:57] 未来的话我做触觉
[113:59] 对触觉的预测我可以预测
[114:01] 未来我能摸到什么
[114:04] 对所以这是一个比较拓展化的这么一个
[114:07] 架构用了很简洁的Diffusion
[114:09] Transformer的
[114:11] 这样一个方式
[114:12] 然后
[114:13] 我们也做了一系列的这个
[114:15] 实验然后也是在各类机器人的
[114:17] 很多用RTX的各种开源数据啊等等这些来去训练
[114:21] 然后我们也带了包括仿真和真机上面的
[114:25] 各类的这个Benchmark
[114:28] 然后包括一些
[114:29] 一些抓取啊还包括一些绕线啊或者是开抽屉啊等等
[114:32] 这样的工作
[114:34] 然后呢我会发现它的这个泛化的能力还是不错的
[114:39] 就比如说这边的话我们说它这有一个
[114:44] 对这个抓取的任务对吧识别相应颜色的方块并且
[114:48] 做抓取
[114:49] 这样的一个任务
[114:50] 我发现比如说我们的ExpertData我们给它的这个
[114:53] 我们机器的这个数据的话我们只给了
[114:57] 这样简单的
[114:58] 几种颜色方块
[115:00] 测试的时候我们加了很多种新的这个
[115:02] 这个物体
[115:04] 会发现就红色是我们的这个
[115:06] 就是在越南的要求下的话我们其实优势
[115:09] 会越明显
[115:10] 所以这个也是因为
[115:12] 刚才提到的时候我们能够有一个
[115:15] 多种输出包括对于为了各种图像的一个预测的功能去帮助它更好的理解
[115:20] 更泛化的理解这个
[115:22] 世界
[115:23] 然后这个是
[115:25] 所以这个也是我称之为这个算是一种World Model
[115:29] 因为大家搜了出来之后大家就把它叫World Model
[115:32] 然后像因为它的Cosmos出来
[115:34] 也把叫做World Model其实它本质上是在预测ok我take my action之后
[115:38] 那么未来
[115:40] 会这个
[115:41] 世界Invironment会怎么转变
[115:43] 然后它是以
[115:44] 这个图像视频预测的方式来去显示的去表达了出来
[115:49] 所以说
[115:50] 你可以认为
[115:51] 所以从这种角度来讲你可以认为我们刚才提的这个模型是把世界模型融入到了我们的VLA模型里面
[115:58] 对
[115:58] 然后对对对
[116:00] 然后这一块呢就是单独的看我们对World Model对未来世界预测
[116:04] 下面是我们的
[116:06] 模型Predict生成出来的
[116:08] 上面是这个ground truth
[116:11] 然后这个是让它开一个冰箱门
[116:13] 我们可以看到还是
[116:15] 非常符合
[116:17] 这个物理现象的包括它怎么样但你可以看到一些AI生成的痕迹但还是非常符合物理现象
[116:23] 把这个门怎么打开包括里面它会脑补一下里面有什么东西
[116:28] 对
[116:29] 然后这是另一个例子
[116:31] 然后包括这边
[116:32] 是让它去到右边去抓这个物品
[116:34] 你看到怎么生成过去一步一步移动过去然后包括这个夹爪
[116:38] 闭上吧
[116:38] 这个夹起来
[116:39] 的细节
[116:40] 还有包括
[116:41] 这块
[116:43] 最开始这块
[116:44] 这本来有一个泥然后这块是挡住的
[116:47] 然后它想象它走开之后这有个泥
[116:50] 真实情况是有个香蕉
[116:52] 但是这个也是很符合
[116:54] 这个对这个规律就是说它也有可能是你毕竟你也看不到它可能是什么
[117:00] 它能猜一下这些可能是什么
[117:02] 然后这里面被挡住的这些遮挡的关系也能够还原的挺好
[117:07] OK然后这个呢就是
[117:08] 说那么除了刚才视觉的这个prediction我们也可以预测深度的
[117:14] 就还是这个是ground truth深度图的下面是ground truth
[117:17] 这个是我们预测的深度图也是能够比较准确的
[117:21] 进行一个预测
[117:22] 对然后我们也做了相应的scanning的这么一个探索
[117:25] 那么
[117:26] 看到就是说
[117:27] 越大的模型参量然后基本上我们success rate也是能非常好的去增强
[117:34] 对对
[117:35] 然后这是这边
[117:36] 然后后面
[117:37] 这个是我们的一个
[117:38] 工作叫Video Prediction Poison
[117:40] 就是这个大概说明就是说
[117:43] 由这一篇和上一篇的关系有一点像
[117:47] VLM和
[117:49] 就是刚才提到VLM和Transformer这一类的关系
[117:52] 为什么就是说
[117:54] 上一篇
[117:55] 是纯粹在我们机器人的这个数据下面重新去训了整个这一个网络
[118:00] 就像刚才提到我们Transformer的那一类方法
[118:03] 就重新在整个机器人的数据上面
[118:05] 它是from scratch去训一个Transformer的网络
[118:08] 我们这一篇也是from scratch的训了这样一个网络
[118:12] 当然它也性能还是很不错但是说
[118:14] 我们就想到
[118:15] 那有没有一些互联网就是Pretrained好的
[118:18] 大规模的对吧那么对我们来说我们是比较重视
[118:21] 对这个生成
[118:22] 生成式的这个模型
[118:24] 我们其实是有一些Pretrained好的预训练好的生成式的模型
[118:28] 就比如说有一些Video Diffusion Policy那个是在非常大量的
[118:32] 视频数据集上面去预训练好的
[118:35] 能不能把它去用上
[118:37] 就像是刚提到VLM的那一系列
[118:40] 那就是OK有预训练好的Language Model和VLM
[118:43] 能不能把它用上用到机器人上面
[118:45] 所以这个也是我们的
[118:47] 这篇工作的这个思想
[118:48] 我们是在一些
[118:50] 先比如它预训练好的开源的这个
[118:53] Video的
[118:54] 这个网络上面
[118:56] 比如这个就是
[118:58] 当时这个网络
[118:59] 然后我们做了几个步骤
[119:02] 因为比如说这个模型的话
[119:04] 它跟机器人并不相关然后它也
[119:06] 很多时候它也只是
[119:07] 做一个
[119:08] 这个视觉的预测
[119:09] 就是它并不理解
[119:10] 机器人的数据
[119:11] 和机器人的相关的任务
[119:13] 所以我们首先第一步呢我们是把
[119:16] 这个
[119:16] 视频生成的网络把它Fintune到了机器人的这个Domain下面
[119:21] 我们可以听
[119:23] 听懂机器人的这些指令
[119:25] 然后以及预测我们把我们机器人的数据也给放进来了
[119:28] 一起去Fintune
[119:29] 然后完了之后
[119:31] 我们在网络和我们下面的
[119:33] 像是Diffusion Policy的
[119:35] Diffusion Policy是初年
[119:37] 生成Action这部分
[119:38] 然后做了一个网络层级的深度的
[119:40] 融合
[119:41] 从这里面我们抽取了合适的
[119:44] 它的这个Natent
[119:45] 然后
[119:46] 通过Cross Attention然后跟咱们的这个Diffusion Policy的模块进行了一个深度的融合
[119:51] 然后一举的训练这样的话能把
[119:54] 预测的
[119:55] 视频的就是预测这部分的网络它的
[119:58] 可以
[119:58] 还能理解为它里面的知识或者是网络学到的知识
[120:02] 能够很好的去嵌入到我们的动作行为这一块
[120:06] 这个来训练
[120:07] 然后整个核心的话就是跟上一篇不同
[120:09] 就是说我们能把
[120:10] 这个在非常大规模的视频上面训练好的
[120:14] 这个模型
[120:15] 能很好的去用起来
[120:17] 对所以说整个的话我们弄下来也会发现它有比较好的效果
[120:21] 而且不管是真诚上还是
[120:23] 动作上都比较好
[120:24] 这是一个例子
[120:25] 就比如说我们这个
[120:28] 在这个
[120:29] 这是一个Zero Shot的一个例子
[120:30] 然后当时给了一个任务
[120:32] 就比如说
[120:33] 用这个
[120:34] 凝胶手然后去把红色的液体
[120:37] 然后
[120:38] 这个咬到这个蓝色的碗里
[120:42] 用勺子
[120:43] 然后是这样的一句指令
[120:45] 然后这个任务是完全没收集过任何数据的时候我们就做了一个实验
[120:51] 就看他会怎么去做
[120:53] 我发现他会知道什么是勺子
[120:56] 虽然没有见过这个勺子没有见过任何这个数据
[120:58] 他也知道我手大概怎么去抓
[121:00] 他也知道要去咬这个汤我要先去抓这个勺子
[121:04] 然后这个图是我们生成的
[121:07] 这是我们的模型生成的
[121:09] 对于他要怎么做的一个预测
[121:11] 你可以认为就是他在
[121:12] 执行这个任务之前的话他会
[121:15] 先做一个预想
[121:17] 可以做一个这个预想
[121:20] 然后
[121:22] 当然就是实际执行的话会发现
[121:24] 他虽然姿势差不多对
[121:26] 但是呢因为毕竟没有任何数据这个任务的数据的训练所以他执行的成功率不是很高
[121:31] 但是呢由于
[121:33] 有这个
[121:34] 很好的一个
[121:36] 相当于他本身
[121:37] 已经有一个很好的这个
[121:38] 大模型机做的底子了所以说
[121:40] 我稍微收集一点这个任务的数据去翻听之后他很快就能学到一个很稳定的方式去很好的执行
[121:48] 对
[121:49] 然后
[121:50] 这个的话我们也是还用就是
[121:53] 在
[121:54] 除了刚才这个任务还有
[121:56] 很多其他的更复杂的这个任务也都做过
[121:59] 那就比如说这儿的话我们是用凌桥手
[122:01] 拿起一个锤子去敲钉子
[122:06] 那比如说我拿起这个罗定枪
[122:08] 然后去
[122:10] 去打罗定
[122:12] 这一类都是比较复杂的工具使用
[122:15] 包括你看到他要去按这个按钮把它按开然后再去对准
[122:19] 然后再去打
[122:20] 这个其实是非常
[122:22] 困难的一个任务
[122:23] 然后
[122:24] 我们
[122:26] 的模型可以某种程度可以支持这类任务的一个
[122:30] 实现
[122:31] 这类是已经完全超脱了就是说
[122:34] Pick and Place的
[122:36] 这样的抓取
[122:37] 涉及到一些工具使用
[122:44] OK
[122:46] 然后其实这类任务的话
[122:47] 就模型的scanning的能力还是
[122:50] 比较强的
[122:52] 就是
[122:53] 除了刚才的这几类任务的话
[122:55] 其实大大小小上百种各种任务都可以在同一个模型架构下面去学会
[123:03] OK
[123:04] 但是这样然后所以目前看到主流的几个方向的话总结下来是刚才这几类
[123:10] 然后
[123:12] 可能提两个
[123:14] 新的我觉得是未来的这样的方向吧
[123:16] 一个是
[123:17] 叫这个我们称为unified的
[123:20] 这样的一个方向
[123:21] 因为我们最终的模型都是想要越统一越好
[123:24] 还有更多的功能
[123:25] 刚才我们已经提到
[123:27] 就比如说VLM
[123:29] 对吧然后
[123:30] 它其实是有比较好的对图像的
[123:32] understanding的能力
[123:34] 那条支线
[123:34] 然后
[123:35] 刚才我们提到有我们对未来预测的一个路线
[123:39] 对吧当然你还必须要生成action
[123:41] 那么能不能
[123:42] 就把这些统一
[123:44] 统一的话那么互相之间的这些功能它可能能互相的影响互相的去增强这是我们最开始的这个insight
[123:51] 然后我们做了这篇工作叫
[123:52] 叫这个
[123:53] up VLA
[123:55] 就是unified understanding prediction model
[123:57] 在
[123:57] 这个VLA的技术之上把
[123:59] 对这个understanding
[124:01] 比如说VQA这些能力和
[124:03] 比如说video prediction
[124:04] 这些未来预测的能力
[124:06] 然后都一起
[124:08] 然后迅进来
[124:09] 是一个统一的
[124:11] 这样的一个模型
[124:12] 然后其实这个想法呢也跟我们最开始讲的那个
[124:16] 还记得Gato
[124:17] 其实比较像对吧
[124:18] Gato其实也是想把各类都认同
[124:20] 但是
[124:21] 当前在22年
[124:22] 还没有很好的模型架构只有一个
[124:24] 只有很基础的transformer的
[124:26] 模型
[124:27] 然后但现在我们已经有比较好的
[124:30] 这个
[124:30] 可以基于打算做的比如说预训练好的预安模型VLM模型
[124:34] 或等等在上面继续去做
[124:36] 所以就能实现更好的一些效果
[124:39] 然后这块我们也还在探索
[124:41] 然后就但比如说已经能
[124:42] 在一些Benchmark上还不错的一些效果
[124:45] 包括我们刚才讲的一些
[124:47] 然后我们可以看到他不光是能做相应的动作
[124:50] 同时的话他也能够去回答
[124:51] 比如说你让他去描述这个图像
[124:53] 他能很好地去描述出来
[124:55] 这个图像发生了什么
[124:56] 还能预测出来
[124:57] 那么我干
[124:58] 我干这个
[124:59] Pick up the carrot
[125:01] 这个任务之后
[125:02] 那么未来几秒
[125:03] 会发生什么事情
[125:06] 这样一个架构
[125:08] 还有一块呢就是
[125:10] 强化学习
[125:11] 你可以认为刚才讲的
[125:12] 所有的
[125:13] 全都是surprise learning
[125:17] 全都是监督的学习
[125:19] 或者是模仿学习
[125:20] 这样的方式来去做的
[125:22] 当然我们知道就是因为deep seek出来之后我们知道强化学习其实是非常重要的一种方式
[125:28] 对吧
[125:29] 某一时刻到未来某一时刻你的
[125:31] 纯靠这种监督的学习
[125:33] 你可能你的性能没法提上去了
[125:36] 这个时候强化学习可能能帮助我们突破这个瓶颈
[125:39] 所以这个我们也是当时做的一个工作就是我们在学习中
[125:42] 在想那么
[125:43] 能不能用强化学习训练VOA的模型
[125:46] 对
[125:47] 这个是内笔
[125:48] Chad Bot
[125:48] 最后你有
[125:50] 这个
[125:50] 对吧
[125:51] 那个时候
[125:52] 当时我们做的时候这个deep seek还没出来
[125:55] 当然是但Chad GPT已经有RUHF了
[125:58] 然后那么对应的机器人也是
[126:01] 像刚才讲的所有的
[126:03] 都是SFT相当于
[126:04] 对吧都是surprise的一个
[126:06] training
[126:07] 那么在技术之上我们能不能还继续做的强化学习
[126:10] 继续去
[126:11] 增强它
[126:12] 然后我们是发现是
[126:15] 可以的
[126:16] 就是当然
[126:17] 会经过一些特殊的一些处理
[126:19] 那么右边这张图是一个总结
[126:21] 就是虚线的这个就是SFT就是纯模仿学习的这样一个policy
[126:25] 那么可能对于我们给的这些任务里面的话它只能达到
[126:28] 不到50分
[126:30] 然后蓝色那是我们的这个方法
[126:33] 就是说OK
[126:34] 强化技艺强化学习这一类方法
[126:36] 然后之后可以
[126:37] 进一步的去不断的增强它的性能
[126:40] 甚至达到接近100分的这样一个能力
[126:42] 当然这个方法是经过了特殊的处理
[126:45] 它不是一个标准的PPO
[126:47] 如果用标准PPO你会发现它甚至
[126:49] 会越虚越差
[126:51] 对
[126:52] 然后具体处理大概是这样的就是
[126:55] 左边是标准的surprise learning的方式
[126:58] 就刚才
[126:59] 之前讲的这个是基于VLM的
[127:02] 这一类方法
[127:03] 类似而去
[127:03] 当然我们后面也加了一个Action head做了一些Action的处理
[127:07] 你可以认为类似于
[127:08] 我们的这个Hierarchical RT和包括Python
[127:12] 相似的这样的一个架构的VLA
[127:15] 然后我们是在这个back上做的这个RUO训练方法的研究
[127:19] Surprise File Tuning就是直接有相应的surprise learning的data
[127:24] 然后你来直接做一个模范学习训练
[127:27] 然后强化学习本质上
[127:29] 你是可以直接比如说拿PPO直接去训练它
[127:32] 但是我们发现
[127:33] 不太能work
[127:36] 我们想了很多方法但是直接去训练整个网络
[127:40] 没能work
[127:40] 所以
[127:41] 但是我们发现
[127:42] 就是如果我训练强化学习的时候把VLM冻住的话它能work
[127:47] 我们只是训练
[127:49] 这个下面Action这部分强化学习的话它可以work
[127:52] 但是我们当然我们是希望VLM也能训练
[127:55] Title能传回去的
[127:56] 但是我发现直接强化学习训练整个的话不行
[127:59] 所以我们分了两个步骤
[128:00] 第一步的话先冻住VLM然后只训练Action head
[128:03] 这部分RUO可以把它训练上去
[128:05] 训练上去之后
[128:06] 我们把它
[128:07] 成功的这个Trajectory
[128:09] 去存下来
[128:10] 然后这个时候放开VLM
[128:11] 然后再用速度训练
[128:12] Suprise Learning方式去训
[128:15] 相当于是我们先RUO先把
[128:17] 每一个动作先训好
[128:19] 然后存起来再用Suprise Learning方式去训练VLM
[128:22] 这是我们的一个间接的一个解决这个方法的方式
[128:25] 然后整体的效果
[128:27] 其实还是相当于是RUO能把它
[128:29] 给训练上去
[128:30] 当然我们认为未来还是有更多提升的空间
[128:33] 我们还是希望说真的强化学习能直接去
[128:36] 整个直接去训练它
[128:38] 然后这做了一些比较
[128:40] 那比如说这个
[128:42] 绿色的这个
[128:42] 是这个Suprise Learning的这个
[128:45] 方式
[128:46] 然后这个
[128:49] 蓝色和红色都是我们的方法
[128:51] 红色的方法
[128:52] 蓝色是一个
[128:53] 稍微差一点的一个变体
[128:55] 橘黄色是说强化学习之间去训练
[128:58] 可以发现的话
[129:00] 基本上我们的方法是会比Suprise Learning要更好
[129:03] 在直接训练来说
[129:05] 特别是在没见过的这些任务上面
[129:07] 然后橘黄色就是PPO直接去训练就是可能会比Suprise Learning
[129:12] 刚才讲的那张图可能还会更差
[129:14] 如果处理的不好
[129:17] OK可能这个
[129:19] 整个的介绍大概是到这里
[129:22] 陈老师你之前是施医工的学生吗
[129:26] 我不是
[129:28] 好像是不是网上有一个
[129:30] 奇怪的一个我不知道是谁写的
[129:32] 那篇基本都是乱编的
[129:35] 可能是GPT写的
[129:37] 你本科是学什么呀
[129:39] 我本科在清华的精密仪器写
[129:41] 就是什么
[129:42] 什么都写就是经营系统
[129:44] 我了解清华精密就是就比较杂
[129:47] 就各种都写
[129:48] 所以这个机械的电子的然后控制的这些
[129:52] 都有
[129:53] 我当时
[129:54] 其实也捣鼓蛮多各种基点系统包括片硬件一些东西
[129:58] 然后我
[130:00] 本科毕社的时候是做这个
[130:02] 就做的是双足的这个机器人控制
[130:04] 所以你本科已经开始关注机器人了
[130:07] 本科就关注了机器人
[130:08] 然后前面几年可能关注机器人硬件多一些
[130:11] 各种
[130:12] 机械设计因为我们有很多的机械设计课
[130:14] 然后还有包括这个
[130:16] 机电系统
[130:18] 嵌入式这些
[130:19] 搞单面机这些
[130:21] 参加一些比赛然后毕社的时候就做的是这个
[130:24] 双足机器人的不太规划
[130:26] 然后因为当时
[130:28] 我们系的话是
[130:31] 其实属于国内最早做双足机器人研究
[130:35] 的这个单位之一20多年前就开始做了
[130:38] 对所以有跟着相应的老师做
[130:42] 这一块的
[130:42] 这个这个毕社
[130:43] 本科大概是这样
[130:44] 你后来去读博了呢机器人是你的方向吗
[130:47] 对读博就主要做机器人方向
[130:49] 然后跟着老师是一个日本老师
[130:52] 叫Masayoshi Tomizuka
[130:54] 然后他也是机器人和控制领域
[130:56] 非常有影响力的老师也是美国的一个院士
[130:59] 他是那个相对是mechatronics就机电一体化学科的一个开创者
[131:04] 你可以认为机器人某种程度就是一种机电一体化的系统
[131:07] 就是一种机电系统
[131:09] 就是研究怎么样
[131:11] 其实就是研究怎么样
[131:12] 通过机器人去软件来去控制这种自动化的这样的一个机器
[131:16] 的机电系统
[131:17] 然后
[131:18] 我们的Nav博士的
[131:21] 这阶段Nav的名字就叫Mechanic System Control
[131:24] 就是机械系统控制
[131:26] 你可以认为所有的机器人包括自动化的很多系统都是一种机械系统
[131:29] 你要去分析它分析它性质是什么
[131:31] 你还知道你要
[131:32] 你要知道怎么样用软件算法去控制它
[131:35] 以及你的控制算法放在这样的一个硬件机械系统上面
[131:39] 它会产生什么样的效果
[131:41] 所以整个会研究
[131:42] 你可以认为就是研究
[131:44] 软硬一体的这种机器人系统
[131:46] 然后你怎么去设计
[131:48] 然后另外我导师一个比较有名的工作就是NPC
[131:53] 就是Modular Precision Control
[131:55] 波动动力其实之前一直都是
[131:56] 包括它最开始都是基于这一套方法来去做的
[132:00] 刚才我们也大概提到了这样一套思想
[132:03] 然后这套理论的最早的基础其实就是
[132:07] 导师这边去做出来的
[132:08] 我博士阶段的话前面两个
[132:10] 两年主要是做NPC的
[132:12] 那个时候因为AlphaGo刚才提到的这个
[132:15] 方法还没有出现
[132:17] 那就还没有出现
[132:18] 所以说Deep Reinforcement Learning这个学科还没有出现
[132:21] 相对AI虽然已经进入到了computer vision里面但是
[132:24] 还没有进入到真正进入到robotic特别是机器人控制这一块
[132:29] 还不太能做当然就是控制之前有一些这个adaptive control等等有一些这个machine learning的思想
[132:36] 但是deep learning这一块是
[132:38] 没有进入过来的
[132:39] 前面两年我主要
[132:40] 做NPC的算法基于优化等等
[132:42] 当时也写一些优化器来去做
[132:45] 然后后面自从AlphaGo出来之后就开始关注这个强化学习
[132:50] 用强化学习来做机器人的控制
[132:52] 所以后面几年的话都主要在
[132:55] robot learning和强化学习这一块
[132:58] 听起来你对那个机器人本体的控制是更擅长的
[133:03] 对应该说是整个系统化吧就是说因为在当前的
[133:07] 在此前的话
[133:09] 这个Piper
[133:10] 是比较长的
[133:11] 对吧我要分感知
[133:13] 然后我要分上层决策分一个预测然后对吧感知和认知还有分一下
[133:18] 完了之后我再是这个
[133:20] 决策再规划再控制
[133:22] 但现在的话逐步逐步都是端到端就是说
[133:25] 要用更统一的方式来做这套系统
[133:28] 这个其实对我们这种做
[133:30] 我这种做control的
[133:31] 来说是比较开心的
[133:33] 因为你系统
[133:34] 子系统越多它越难分析
[133:36] 我如果是一套系统
[133:38] 我是就一个端到端
[133:40] 我反而这套系统是更简洁的
[133:42] 我是希望更简洁的一个
[133:44] 方法的
[133:45] 你是现在要做主要做大脑吧我们简单理解
[133:49] 我们都做
[133:51] 大脑然后如果你认为比如说
[133:53] 行走不太这个运控
[133:55] 人行机器人的这个不太运控认为是
[133:58] 假如把他认为是小脑的话这块我们做的也很多
[134:01] 然后我们本体也做就是本体主要是公司这边
[134:05] 人行机器人的本体包括双足
[134:07] 包括这个双手
[134:10] 包括本体的
[134:11] 底层的很多这个核心部件
[134:14] 其实也都是我们自己设计包括关节包括电机
[134:17] 包括我们零敲手这些都是自己设计的因为
[134:20] 现有的产业链也并不成熟
[134:22] 就是我们市场上买不到令我们满意的
[134:25] 这样的东西所以我们其实一开始就是软硬件都在一体来去做
[134:30] 因为机器人本身也是一个软硬一体的系统
[134:33] 这样做也会带来我们很多的好处就是我们
[134:36] 考虑怎么做这套因为机器人你
[134:38] 最终用起来它一定是一个软硬一体
[134:40] 配合起来用的系统
[134:41] 所以说我们两者都同时做并且
[134:44] 两块的能力都同时培养
[134:47] 这个的话使得我可以
[134:49] 就是说以一个系统化的方式统一的来去设计整个软硬一体化的系统
[134:54] 就我们软件和硬件是同步去迭代的
[134:57] 而且设计的时候是会考虑他们的一些偶合
[135:01] 你考虑过比如说去无人车这个行业吗
[135:03] 我博士的课题主题是无人车的
[135:06] 因为当时2015年去读博士嘛然后
[135:09] 那个时候
[135:10] 这大概就是
[135:11] 上一部无人车刚刚兴起的
[135:14] 时间
[135:14] 所以博士阶段去做满多无人车的
[135:17] 然后我也是相当于最早
[135:19] 去研究端到端无人车驾驶的
[135:21] 就刚才说到
[135:22] AlphaGo出来之后我开始研究强化学习
[135:25] 那个时候出来
[135:26] 我就在研究端到端的总驾大概1718年的时候
[135:30] 就直接用强化学习
[135:31] 运一个端到端的网络
[135:33] 试验到售车的网络
[135:34] 然后它直接来个
[135:35] 但当时的那些技术都还
[135:37] 技术基础是比较
[135:40] 是比较落后的不足以真的让它端到端上
[135:42] 端到端上车其实也是这两年的事情
[135:44] 而且强化学习都还没太上
[135:46] 也是先上了模仿学习
[135:48] 但当时是在也是基于仿真或者等等
[135:51] 做了一些相应的这个工作和探索
[135:55] 你后来为什么没有去无人车
[135:56] 然后做了机器人
[135:57] 当时我毕业已经20年了嘛
[136:00] 然后就思考后面主要方向
[136:02] 因为那个时候
[136:03] 无人车的很多格局
[136:06] 特别产业的很多格局也差不多形成了
[136:09] 当时是在想
[136:10] 机器人其实是更大的机会
[136:12] 摩托车上第一方面机器人本身也包含了无人车
[136:16] 刚才提到
[136:17] 那之后的我们这个巨声的模型
[136:20] 它一定是一个通用的泛化的
[136:22] 它同一个模型就能去控制无人车也能控制
[136:26] 我们的机器人
[136:27] 然后
[136:27] 从因为之前学机器人控制嘛
[136:30] 我们是会对不同的机器人本体都做统一的建模的
[136:35] 机器人本体是有统一的建模方式的
[136:37] 车和
[136:38] 在这个机器人动力学习中
[136:40] 这种上面来讲的话车和一个机械臂
[136:43] 它建成公式之后都是同样的形式
[136:46] 没有本质的差别
[136:48] 然后所以说
[136:50] 当时也很快就
[136:52] 这个
[136:54] 去这个考量
[136:55] 然后就直接到机器人上面
[136:57] 我觉得机器人
[136:58] 涵盖面更大更有更有挑战
[137:00] 然后产业格局更新
[137:02] 所以说我回来之后主体就逐渐的就在
[137:05] 专注往机器人这块
[137:08] 然后后面包括逐步的像各种
[137:09] 机械臂啊然后四足机器人
[137:12] 这些都
[137:14] 都做了很多工作
[137:15] 为什么回国
[137:16] 本来就对因为当时是拿了微博offer嘛
[137:19] 差点都要过去了
[137:20] 然后
[137:21] 几个
[137:23] 方面吧
[137:23] 就是一方面是后来想还是想
[137:28] 还是不想去大厂
[137:29] 还是想去做
[137:32] 更自由的这个
[137:34] 自己想做的这个事情
[137:36] 然后
[137:37] 就在考虑然后轿指
[137:38] 其实是能满足这样一个需求的
[137:41] 这样一个方向
[137:42] 所以首先是在看轿指
[137:43] 然后
[137:44] 另外就是外部环境嘛
[137:46] 就那两年中美关系恶化的比较厉害
[137:50] 我也还是比较
[137:51] 就是说
[137:52] 所以在那边待着稍微那段时间不胜而爽
[137:56] 就有这个回国的这个倾向
[137:59] 然后同时
[138:00] 那段时间刚好又是疫情
[138:01] 20年的时候
[138:03] 对然后那段时间就是
[138:05] 疫情刚出来之后就是
[138:07] 其实一段时间到国内
[138:08] 其实控制
[138:09] 蛮好的然后美国
[138:11] 感觉还是蛮吓人的当时
[138:13] 所以大概这几个
[138:15] 外部的因素吧那就
[138:17] 当时就往国内看机会嘛然后后来拿到清华的这边的机会
[138:21] 这个也是非常好的机会
[138:23] 就直接就回来了
[138:24] 你后来为什么又选择创业呢
[138:27] 你在高校做的工作和创业做的工作有什么关系
[138:30] 我认为就是说
[138:33] 创业做一家公司特别做大之后
[138:37] 他的scope
[138:37] scope其实是更大的
[138:40] 就是说他也需要包含技术
[138:42] 然后我们这儿讲的很多的技术也都是
[138:45] 会融入到咱们公司的这个产品里面
[138:48] 但是比如说在学校里面的话其实
[138:51] 会是focus上技术
[138:52] 但其实我发现我对其他很多
[138:55] 我当然现在最感兴趣的就是对技术还是最感兴趣的
[138:58] 我最喜欢做的一件事情但是我会发现我对产品或者对
[139:02] 怎么样把这个产品应用起来商业化等等
[139:05] 我也非常想去做这块事情
[139:08] 因为
[139:08] 我也算做了机器人十好几年了
[139:10] 从本科开始接触
[139:13] 基本上也15年了然后
[139:14] 也是看这一行包括机器人这一行的历史
[139:19] 机器人这一行历史也挺长时间了
[139:21] 但是机器人一直没有很好的在咱们的这个
[139:25] 世界中用起来
[139:26] 大部分还是停留在实验室
[139:29] 对
[139:29] 我觉得不应该这样
[139:31] 我觉得他该很好的用起来
[139:33] 然后
[139:34] 当你掌握了很多的
[139:36] 这个机器人
[139:38] 的构建
[139:39] 机器人软硬件各种的能力之后
[139:41] 我能想象出很多很多种他的应用的方式
[139:44] 很多种都很有趣
[139:45] 我也觉得都很有机会
[139:47] 所以说
[139:48] 但是这个如果是
[139:50] 仅在高校实验室是搞不出来因为有大量的工程你还涉及到
[139:54] 制造涉及到这个销售或者产品化等等的
[139:56] 我也等不及说
[139:58] 某一个其他的大厂或者公司开始去做然后
[140:03] 我在
[140:05] 跟他学术合作这种
[140:06] 对
[140:07] 我也等不及
[140:08] 我要想自己去做这个事情
[140:10] 所以说
[140:11] 基本上也是22年
[140:13] 底的时候就决定好要去做
[140:14] 大概是在我们在课题组里面
[140:17] 在自己课题里面做了一段时间之后
[140:20] 的时候然后决定
[140:22] 得
[140:23] 需要扩大来去做起来
[140:25] 然后当然另一部分原因也是
